provider_id,name,specialty,phone,email,address,state,license_id,npi_number,facility_name,validation_confidence
174,John Davis,Orthopedics,+91-7032482294,john.davis@example.com,"80 Park Ave, Lucknow, India",UP,LIC-97163,NPI-9848781070,LifeLine Hospital,70
175,Sarah Reddy,Dermatology,+91-7714388813,sarah.reddy@example.com,"125 Main Rd, Chennai, India",WB,LIC-46378,NPI-4448969966,LifeLine Hospital,84
176,Sneha Gupta,ENT,+91-8717579777,sneha.gupta@example.com,"177 Main Rd, Chennai, India",RJ,LIC-96365,NPI-8730000934,City Clinic,80
177,Emily Sharma,Dermatology,+91-7795550140,emily.sharma@example.com,"42 2nd St, Jaipur, India",KA,LIC-69189,NPI-2604211883,LifeLine Hospital,94
178,Michael Brown,ENT,+91-9212660500,michael.brown@example.com,"137 2nd St, Mumbai, India",WB,LIC-91929,NPI-4607176828,HealthCare Plus,57
179,Amit Iyer,Orthopedics,+91-8297339971,amit.iyer@example.com,"50 Park Ave, Chennai, India",KA,LIC-17227,NPI-1410321041,MedStar Center,85
180,Amit Davis,Dermatology,+91-7657060420,amit.davis@example.com,"175 Main Rd, Delhi, India",GJ,LIC-27633,NPI-1930890358,City Clinic,66
181,John Reddy,Pediatrics,+91-7885562822,john.reddy@example.com,"160 Park Ave, Bangalore, India",KA,LIC-84696,NPI-8009453132,City Clinic,74
182,Priya Davis,Neurology,+91-9902716049,priya.davis@example.com,"67 2nd St, Ahmedabad, India",TN,LIC-98700,NPI-1067951050,MedStar Center,73
183,Priya Gupta,Dermatology,+91-8448379493,priya.gupta@example.com,"42 Park Ave, Lucknow, India",MH,LIC-64253,NPI-4840520544,LifeLine Hospital,52
184,Emily Sharma,Orthopedics,+91-8475580997,emily.sharma@example.com,"169 Park Ave, Chennai, India",KA,LIC-82240,NPI-6725199618,HealthCare Plus,55
185,Michael Patel,ENT,+91-9395661520,michael.patel@example.com,"35 2nd St, Jaipur, India",MH,LIC-63363,NPI-3727132636,MedStar Center,96
186,Michael Iyer,ENT,+91-8815435933,michael.iyer@example.com,"121 Park Ave, Kolkata, India",TN,LIC-78619,NPI-2292154255,LifeLine Hospital,57
187,Priya Davis,Pediatrics,+91-7654621799,priya.davis@example.com,"118 Main Rd, Chennai, India",GJ,LIC-72711,NPI-3884321565,City Clinic,69
188,Sarah Patel,Psychiatry,+91-7548525216,sarah.patel@example.com,"16 2nd St, Chennai, India",RJ,LIC-29169,NPI-1155307661,LifeLine Hospital,82
189,Rohan Patel,Cardiology,+91-7376422740,rohan.patel@example.com,"2 Park Ave, Mumbai, India",TN,LIC-94416,NPI-7728389947,City Clinic,91
190,Amit Iyer,ENT,+91-9697024940,amit.iyer@example.com,"35 2nd St, Kolkata, India",WB,LIC-55033,NPI-8393451469,HealthCare Plus,52
191,Michael Gupta,ENT,+91-7347545672,michael.gupta@example.com,"143 Main Rd, Delhi, India",MH,LIC-16721,NPI-9485181203,HealthCare Plus,59
192,Rohan Mehta,Neurology,+91-8347450144,rohan.mehta@example.com,"164 Park Ave, Ahmedabad, India",UP,LIC-41552,NPI-9152971599,HealthCare Plus,95
193,Neha Reddy,Orthopedics,+91-8712244648,neha.reddy@example.com,"134 Main Rd, Lucknow, India",TN,LIC-58244,NPI-5587765127,City Clinic,83
194,Raj Gupta,Neurology,+91-9360211387,raj.gupta@example.com,"12 Main Rd, Jaipur, India",WB,LIC-43613,NPI-1453826363,MedStar Center,55
195,Rohan Davis,Orthopedics,+91-8659836702,rohan.davis@example.com,"5 Park Ave, Bangalore, India",MH,LIC-65677,NPI-3660722590,LifeLine Hospital,64
196,Michael Reddy,Cardiology,+91-7610956386,michael.reddy@example.com,"149 Main Rd, Chennai, India",TN,LIC-38141,NPI-1999204964,MedStar Center,78
197,Neha Brown,General Medicine,+91-7561396798,neha.brown@example.com,"116 Park Ave, Ahmedabad, India",UP,LIC-61196,NPI-8849215501,MedStar Center,86
198,Sarah Khan,ENT,+91-8067644086,sarah.khan@example.com,"130 2nd St, Delhi, India",KA,LIC-16548,NPI-8689442021,MedStar Center,70
199,Michael Iyer,Psychiatry,+91-9299139494,michael.iyer@example.com,"133 Main Rd, Lucknow, India",UP,LIC-32740,NPI-6330919665,City Clinic,70
200,Rohan Khan,Neurology,+91-7183108255,rohan.khan@example.com,"164 Main Rd, Delhi, India",TN,LIC-63744,NPI-5841286141,LifeLine Hospital,83
